date,risk_free_rate,ig_inception_acc,ig_inception_eur_acc,ig_inception_usd_acc,ig_inception_subordinated_acc,ig_ytd_acc,ig_ytd_eur_acc,ig_ytd_usd_acc,ig_ytd_subordinated_acc,xover_ytd_acc,bm_ig_inception_acc,bm_ig_ytd_acc,bm_xover_inception_acc,ig_inception_daily_returns,ig_inception_eur_daily_returns,ig_inception_usd_daily_returns,ig_inception_subordinated_daily_returns,ig_ytd_daily_returns,ig_ytd_eur_daily_returns,ig_ytd_usd_daily_returns,ig_ytd_subordinated_daily_returns,xover_ytd_daily_returns,bm_ig_inception_daily_returns,bm_ig_ytd_daily_returns,bm_xover_inception_daily_returns,ig_inception_excess_returns,ig_inception_eur_excess_returns,ig_inception_usd_excess_returns,ig_inception_subordinated_excess_returns,ig_ytd_excess_returns,ig_ytd_eur_excess_returns,ig_ytd_usd_excess_returns,ig_ytd_subordinated_excess_returns,xover_ytd_eur_excess_returns,ig_inception_rf_returns,ig_inception_eur_rf_returns,ig_inception_usd_rf_returns,ig_inception_subordinated_rf_returns,ig_ytd_rf_returns,ig_ytd_eur_rf_returns,ig_ytd_usd_rf_returns,ig_ytd_subordinated_rf_returns,xover_ytd_eur_rf_returns,bm_ig_inception_rf_returns,bm_ig_ytd_rf_returns,bm_xover_inception_rf_returns,ig_inception_downsidedev,ig_inception_eur_downsidedev,ig_inception_usd_downsidedev,ig_inception_subordinated_downsidedev,ig_ytd_downsidedev,ig_ytd_eur_downsidedev,ig_ytd_usd_downsidedev,ig_ytd_subordinated_downsidedev,xover_ytd_eur_downsidedev,bm_ig_inception_downsidedev,bm_ig_ytd_downsidedev,bm_xover_inception_downsidedev,ig_inception_excess_returns_acc,ig_inception_eur_excess_returns_acc,ig_inception_usd_excess_returns_acc,ig_inception_subordinated_excess_returns_acc,ig_ytd_excess_returns_acc,ig_ytd_eur_excess_returns_acc,ig_ytd_usd_excess_returns_acc,ig_ytd_subordinated_excess_returns_acc,xover_ytd_eur_excess_returns_acc,ig_inception_sum_mv,ig_inception_eur_mv,ig_inception_usd_mv,ig_inception_subordinated_mv,xover_ytd_mv,ig_inception_absolute_returns,ig_inception_eur_absolute_returns,ig_inception_usd_absolute_returns,ig_inception_subordinated_absolute_returns,xover_ytd_absolute_returns,date_monthly_te,monthly_rolling_te,date_quarterly_te,quarterly_rolling_te,date_6m_te,6m_rolling_te
2/28/2018,0.00208164%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%," 346,198,511 "," 346,198,511 ", -   , -   ," 672,255,981 ", -   , -   , -   , -   , -   ,,,,,,
3/1/2018,0.00217421%,0.07%,0.07%,0.00%,0.00%,0.36%,0.59%,0.40%,0.13%,1.63%,0.01%,0.22%,1.57%,0.07%,0.07%,0.00%,0.00%,0.36%,0.59%,0.40%,0.13%,1.63%,0.01%,0.22%,1.57%,0.05%,0.05%,-0.01%,-0.01%,0.14%,0.37%,0.17%,-0.09%,0.05%,0.06%,0.06%,0.00%,0.00%,0.36%,0.59%,0.39%,0.13%,1.62%,0.01%,0.22%,1.57%,,,0.00%,0.00%,,,,,,,,,0.05%,0.05%,-0.01%,-0.01%,0.35%,0.37%,0.17%,-0.09%,0.05%," 388,408,028 "," 388,408,028 ", -   , -   ," 844,804,778 "," 257,167 "," 257,167 ", -   , -   ," 10,340,682 ",,,,,,
3/2/2018,0.00208957%,-0.04%,-0.04%,0.00%,0.00%,0.81%,1.35%,1.00%,0.22%,1.09%,-0.04%,0.45%,0.97%,-0.10%,-0.10%,0.00%,0.00%,0.45%,0.75%,0.60%,0.09%,-0.54%,-0.05%,0.23%,-0.60%,-0.05%,-0.05%,0.05%,0.05%,0.22%,0.53%,0.38%,-0.14%,0.06%,-0.10%,-0.10%,0.00%,0.00%,0.45%,0.75%,0.60%,0.08%,-0.54%,-0.06%,0.22%,-0.60%,-0.10%,-0.10%,0.00%,0.00%,,,,,-0.54%,-0.05%,,-0.60%,0.00%,0.00%,0.04%,0.04%,0.85%,0.90%,0.55%,-0.23%,0.12%," 426,570,167 "," 426,570,167 ", -   , -   ," 840,183,164 "," (88,710)"," (88,710)", -   , -   ," 5,719,067 ",,,,,,
3/5/2018,0.00204516%,-0.05%,-0.05%,0.00%,0.00%,0.76%,1.35%,0.82%,0.19%,0.51%,-0.08%,0.46%,0.66%,-0.02%,-0.02%,0.00%,0.00%,-0.05%,0.01%,-0.18%,-0.03%,-0.57%,-0.04%,0.01%,-0.31%,0.03%,0.03%,0.04%,0.04%,-0.06%,0.00%,-0.19%,-0.03%,-0.26%,-0.02%,-0.02%,0.00%,0.00%,-0.05%,0.01%,-0.18%,-0.03%,-0.58%,-0.04%,0.01%,-0.31%,-0.02%,-0.02%,0.00%,0.00%,-0.05%,0.01%,-0.18%,-0.03%,-0.57%,-0.04%,,-0.31%,0.03%,0.03%,0.08%,0.08%,0.84%,0.90%,0.36%,-0.27%,-0.15%," 426,432,425 "," 426,432,425 ", -   , -   ," 1,031,247,223 "," (226,452)"," (226,452)", -   , -   ," (4,504,574)",,,,,,
3/6/2018,0.00207183%,-0.19%,-0.18%,0.00%,0.00%,0.62%,1.14%,0.46%,0.24%,-0.20%,-0.18%,0.40%,-0.62%,-0.14%,-0.13%,0.00%,0.00%,-0.14%,-0.21%,-0.36%,0.04%,-0.71%,-0.10%,-0.05%,-1.28%,-0.04%,-0.04%,0.10%,0.10%,-0.09%,-0.16%,-0.31%,0.10%,0.57%,-0.14%,-0.13%,0.00%,0.00%,-0.14%,-0.22%,-0.37%,0.04%,-0.72%,-0.10%,-0.05%,-1.29%,-0.14%,-0.13%,0.00%,0.00%,-0.14%,-0.21%,-0.36%,,-0.71%,-0.10%,-0.05%,-1.28%,-0.01%,-0.01%,0.18%,0.18%,0.80%,0.74%,0.05%,-0.17%,0.42%," 456,960,280 "," 440,854,493 ", -   ," 16,105,787 "," 1,045,412,841 "," (651,062)"," (630,620)", -   ," (20,442)"," (10,279,714)",,,,,,
3/7/2018,0.00204308%,-0.17%,-0.17%,0.00%,0.05%,0.39%,0.57%,0.42%,0.16%,0.01%,-0.13%,0.26%,0.14%,0.02%,0.02%,0.00%,0.05%,-0.24%,-0.57%,-0.04%,-0.07%,0.21%,0.05%,-0.15%,0.76%,-0.03%,-0.03%,-0.05%,0.00%,-0.09%,-0.42%,0.11%,0.08%,-0.55%,0.02%,0.01%,0.00%,0.05%,-0.24%,-0.57%,-0.04%,-0.08%,0.21%,0.05%,-0.15%,0.76%,,,0.00%,,-0.24%,-0.57%,-0.04%,-0.07%,,,-0.15%,,-0.04%,-0.04%,0.13%,0.17%,0.51%,0.32%,0.16%,-0.09%,-0.13%," 503,872,537 "," 487,756,993 ", -   ," 16,115,544 "," 1,049,874,397 "," (510,649)"," (499,964)", -   ," (10,686)"," (5,818,158)",,,,,,
3/8/2018,0.00216444%,-0.08%,-0.08%,0.00%,0.36%,0.27%,0.08%,0.10%,0.44%,-0.36%,0.00%,0.08%,-0.07%,0.09%,0.09%,0.00%,0.31%,-0.12%,-0.50%,-0.32%,0.27%,-0.37%,0.13%,-0.17%,-0.21%,-0.03%,-0.04%,-0.13%,0.18%,0.05%,-0.32%,-0.14%,0.45%,-0.16%,0.09%,0.09%,0.00%,0.31%,-0.12%,-0.50%,-0.32%,0.27%,-0.37%,0.13%,-0.17%,-0.21%,,,0.00%,,-0.12%,-0.50%,-0.32%,,-0.37%,,-0.17%,-0.21%,-0.08%,-0.08%,0.00%,0.35%,0.26%,-0.01%,0.02%,0.35%,-0.29%," 507,963,658 "," 491,797,739 ", -   ," 16,165,919 "," 1,048,753,922 "," (4,975)"," (44,665)", -   ," 39,690 "," (6,938,634)",,,,,,
3/9/2018,0.00209375%,-0.04%,-0.04%,0.00%,0.54%,0.41%,0.21%,0.44%,0.51%,0.44%,-0.01%,0.14%,1.24%,0.04%,0.03%,0.00%,0.19%,0.14%,0.13%,0.34%,0.07%,0.80%,-0.01%,0.06%,1.31%,0.05%,0.05%,0.01%,0.20%,0.08%,0.07%,0.28%,0.01%,-0.51%,0.04%,0.03%,0.00%,0.19%,0.14%,0.13%,0.34%,0.07%,0.80%,-0.02%,0.06%,1.31%,,,0.00%,,,,,,,-0.01%,,,-0.03%,-0.03%,0.01%,0.55%,0.42%,0.07%,0.30%,0.37%,-0.80%," 516,139,410 "," 499,945,936 ", -   ," 16,193,473 "," 1,054,864,145 "," 109,967 "," 42,722 ", -   ," 67,244 "," (828,410)",,,,,,
3/12/2018,0.00198015%,0.07%,0.06%,0.00%,0.70%,0.25%,-0.26%,0.38%,0.50%,0.31%,0.10%,0.01%,1.31%,0.10%,0.10%,0.00%,0.15%,-0.16%,-0.47%,-0.06%,-0.01%,-0.14%,0.11%,-0.13%,0.07%,-0.01%,-0.01%,-0.11%,0.04%,-0.03%,-0.34%,0.08%,0.12%,-0.21%,0.10%,0.10%,0.00%,0.15%,-0.16%,-0.47%,-0.06%,-0.01%,-0.14%,0.11%,-0.14%,0.07%,,,0.00%,,-0.16%,-0.47%,-0.06%,-0.01%,-0.14%,,-0.13%,,-0.03%,-0.04%,-0.10%,0.60%,0.15%,-0.27%,0.38%,0.49%,-1.01%," 567,982,989 "," 551,763,483 ", -   ," 16,219,505 "," 1,194,642,041 "," 683,566 "," 590,289 ", -   ," 93,276 "," 1,383,141 ",,,,,,
3/13/2018,0.00205503%,0.07%,0.07%,0.00%,0.63%,0.38%,-0.11%,0.77%,0.46%,-0.23%,0.12%,0.05%,1.05%,0.00%,0.01%,0.00%,-0.07%,0.13%,0.16%,0.39%,-0.04%,-0.53%,0.02%,0.05%,-0.26%,-0.02%,-0.01%,-0.02%,-0.09%,0.08%,0.11%,0.34%,-0.08%,-0.27%,0.00%,0.00%,0.00%,-0.07%,0.12%,0.15%,0.38%,-0.04%,-0.53%,0.02%,0.05%,-0.26%,0.00%,0.01%,0.00%,-0.07%,,,,-0.04%,-0.53%,,,-0.26%,-0.05%,-0.05%,-0.12%,0.51%,0.26%,-0.16%,0.72%,0.41%,-1.28%," 598,467,109 "," 582,261,774 ", -   ," 16,205,335 "," 1,300,654,012 "," 612,371 "," 533,264 ", -   ," 79,106 "," (5,053,976)",,,,,,
3/14/2018,0.00199939%,0.06%,0.06%,0.00%,0.28%,0.58%,0.38%,1.00%,0.47%,-0.35%,0.13%,0.17%,1.16%,-0.01%,0.00%,0.00%,-0.35%,0.21%,0.49%,0.23%,0.01%,-0.12%,0.01%,0.11%,0.11%,-0.03%,-0.02%,-0.01%,-0.36%,0.09%,0.37%,0.12%,-0.10%,-0.23%,-0.01%,0.00%,0.00%,-0.35%,0.20%,0.49%,0.23%,0.01%,-0.12%,0.01%,0.11%,0.11%,-0.01%,0.00%,0.00%,-0.35%,,,,,-0.12%,,,,-0.07%,-0.07%,-0.13%,0.14%,0.45%,0.21%,0.83%,0.30%,-1.51%," 598,450,624 "," 582,300,021 ", -   ," 16,150,603 "," 1,300,294,607 "," 595,885 "," 571,511 ", -   ," 24,374 "," (5,413,381)",,,,,,
3/15/2018,0.00194245%,0.01%,0.01%,0.00%,0.13%,0.61%,0.71%,0.72%,0.49%,-0.61%,-0.04%,0.28%,0.73%,-0.05%,-0.05%,0.00%,-0.15%,0.03%,0.33%,-0.28%,0.02%,-0.27%,-0.17%,0.11%,-0.43%,0.12%,0.12%,0.17%,0.03%,-0.08%,0.22%,-0.39%,-0.09%,0.16%,-0.05%,-0.05%,0.00%,-0.15%,0.03%,0.33%,-0.28%,0.02%,-0.27%,-0.17%,0.10%,-0.43%,-0.05%,-0.05%,0.00%,-0.15%,,,-0.28%,,-0.27%,-0.17%,,-0.43%,0.05%,0.05%,0.04%,0.17%,0.65%,0.43%,0.45%,0.21%,-1.34%," 605,809,921 "," 581,631,597 ", -   ," 24,178,323 "," 1,305,577,131 "," 236,879 "," 238,279 ", -   ," (1,400)"," (130,856)",,,,,,
3/16/2018,0.00183386%,-0.03%,-0.03%,0.00%,0.10%,0.79%,0.86%,0.89%,0.69%,-0.29%,-0.06%,0.30%,0.39%,-0.04%,-0.04%,0.00%,-0.03%,0.18%,0.15%,0.17%,0.20%,0.33%,-0.02%,0.03%,-0.34%,-0.02%,-0.02%,0.02%,-0.02%,0.15%,0.13%,0.14%,0.17%,0.67%,-0.04%,-0.04%,0.00%,-0.04%,0.18%,0.15%,0.16%,0.20%,0.32%,-0.02%,0.03%,-0.35%,-0.04%,-0.04%,0.00%,-0.03%,,,,,,-0.02%,,-0.34%,0.02%,0.03%,0.06%,0.15%,0.85%,0.56%,0.58%,0.38%,-0.67%," 688,849,194 "," 664,679,917 ", -   ," 24,169,277 "," 1,295,555,795 "," (22,369)"," (11,922)", -   ," (10,447)"," (10,152,193)",,,,,,
3/19/2018,0.00177302%,-0.19%,-0.18%,0.00%,0.02%,0.94%,1.07%,0.90%,0.89%,-0.48%,-0.18%,0.36%,0.38%,-0.16%,-0.16%,0.00%,-0.07%,0.15%,0.21%,0.01%,0.21%,-0.19%,-0.12%,0.06%,0.00%,-0.03%,-0.04%,0.12%,0.05%,0.09%,0.15%,-0.05%,0.15%,-0.19%,-0.16%,-0.16%,0.00%,-0.07%,0.15%,0.21%,0.01%,0.20%,-0.19%,-0.13%,0.06%,0.00%,-0.16%,-0.16%,0.00%,-0.07%,,,0.01%,,-0.19%,-0.12%,,0.00%,-0.01%,-0.01%,0.18%,0.20%,1.12%,0.71%,0.54%,0.53%,-0.86%," 711,705,660 "," 687,553,395 ", -   ," 24,152,265 "," 1,294,169,534 "," (1,088,903)"," (1,061,445)", -   ," (27,458)"," (11,538,454)",,,,,,
3/20/2018,0.00175108%,-0.29%,-0.29%,0.00%,0.00%,1.28%,1.58%,1.37%,0.98%,-0.79%,-0.28%,0.51%,0.36%,-0.10%,-0.10%,0.00%,-0.02%,0.34%,0.51%,0.46%,0.09%,-0.31%,-0.10%,0.14%,-0.02%,0.01%,0.00%,0.10%,0.08%,0.20%,0.36%,0.32%,-0.06%,-0.29%,-0.10%,-0.10%,0.00%,-0.02%,0.34%,0.51%,0.46%,0.09%,-0.31%,-0.11%,0.14%,-0.02%,-0.10%,-0.10%,0.00%,-0.02%,,,,,-0.31%,-0.10%,,-0.02%,0.00%,0.00%,0.28%,0.29%,1.57%,1.08%,0.86%,0.47%,-1.15%," 772,340,539 "," 748,193,969 ", -   ," 24,146,571 "," 1,294,814,089 "," (1,815,304)"," (1,782,152)", -   ," (33,152)"," (10,893,899)",,,,,,
3/21/2018,0.00174498%,-0.32%,-0.32%,0.00%,-0.11%,1.40%,1.78%,1.44%,1.08%,-0.71%,-0.32%,0.58%,0.27%,-0.03%,-0.03%,0.00%,-0.11%,0.12%,0.20%,0.08%,0.10%,0.08%,-0.03%,0.07%,-0.10%,0.00%,0.00%,0.03%,-0.08%,0.05%,0.13%,0.01%,0.03%,0.18%,-0.04%,-0.03%,0.00%,-0.12%,0.12%,0.20%,0.08%,0.10%,0.08%,-0.03%,0.07%,-0.10%,-0.03%,-0.03%,0.00%,-0.11%,,,,,,-0.03%,,-0.10%,0.00%,0.00%,0.32%,0.21%,1.72%,1.21%,0.87%,0.51%,-0.97%," 815,569,881 "," 791,449,730 ", -   ," 24,120,151 "," 1,295,147,235 "," (2,048,841)"," (1,989,269)", -   ," (59,572)"," (10,560,753)",,,,,,
3/22/2018,0.00180140%,-0.13%,-0.12%,0.00%,-0.20%,1.59%,2.10%,1.58%,1.19%,-0.61%,-0.11%,0.76%,-0.21%,0.19%,0.20%,0.00%,-0.09%,0.18%,0.32%,0.14%,0.11%,0.10%,0.21%,0.18%,-0.48%,-0.02%,-0.01%,-0.21%,-0.29%,0.00%,0.14%,-0.04%,-0.07%,0.58%,0.19%,0.20%,0.00%,-0.09%,0.18%,0.32%,0.13%,0.11%,0.10%,0.21%,0.18%,-0.48%,,,0.00%,-0.09%,,,,,,,,-0.48%,-0.02%,-0.01%,0.11%,-0.09%,1.69%,1.35%,0.82%,0.44%,-0.40%," 824,614,896 "," 800,516,116 ", -   ," 24,098,780 "," 1,290,077,521 "," (524,115)"," (443,172)", -   ," (80,943)"," (12,987,782)",,,,,,
3/23/2018,0.00182933%,-0.23%,-0.21%,0.00%,-0.61%,1.79%,2.23%,1.96%,1.25%,-0.36%,-0.24%,0.84%,-0.08%,-0.10%,-0.09%,0.00%,-0.42%,0.21%,0.12%,0.38%,0.05%,0.25%,-0.13%,0.09%,0.13%,0.03%,0.04%,0.13%,-0.29%,0.12%,0.04%,0.30%,-0.03%,0.12%,-0.10%,-0.09%,0.00%,-0.42%,0.21%,0.12%,0.38%,0.05%,0.25%,-0.13%,0.08%,0.13%,-0.10%,-0.09%,0.00%,-0.42%,,,,,,-0.13%,,,0.00%,0.02%,0.24%,-0.38%,2.03%,1.38%,1.12%,0.41%,-0.28%," 1,013,607,723 "," 965,582,132 ", -   ," 48,025,591 "," 1,297,788,358 "," (1,436,418)"," (1,251,119)", -   ," (185,299)"," (5,276,945)",,,,,,
3/26/2018,0.00158371%,-0.24%,-0.22%,0.00%,-0.63%,1.72%,2.42%,1.84%,1.00%,0.08%,-0.25%,0.99%,-0.06%,-0.01%,-0.01%,0.00%,-0.02%,-0.08%,0.20%,-0.12%,-0.25%,0.44%,-0.01%,0.14%,0.02%,0.01%,0.01%,0.01%,0.00%,-0.22%,0.05%,-0.27%,-0.39%,0.42%,-0.01%,-0.01%,0.00%,-0.02%,-0.08%,0.19%,-0.13%,-0.25%,0.44%,-0.01%,0.14%,0.02%,-0.01%,-0.01%,0.00%,-0.02%,-0.08%,,-0.12%,-0.25%,,-0.01%,,0.02%,0.01%,0.03%,0.25%,-0.38%,1.97%,1.43%,0.85%,0.01%,0.14%," 1,013,567,219 "," 965,548,195 ", -   ," 48,019,024 "," 1,302,921,786 "," (1,476,922)"," (1,285,056)", -   ," (191,866)"," (143,517)",,,,,,
3/27/2018,0.00157306%,-0.17%,-0.15%,0.00%,-0.62%,1.52%,2.13%,1.63%,0.89%,0.52%,-0.08%,0.84%,0.41%,0.07%,0.07%,0.00%,0.01%,-0.20%,-0.29%,-0.20%,-0.11%,0.44%,0.16%,-0.15%,0.47%,-0.09%,-0.09%,-0.16%,-0.15%,-0.05%,-0.14%,-0.06%,0.04%,-0.03%,0.07%,0.07%,0.00%,0.01%,-0.20%,-0.29%,-0.21%,-0.11%,0.44%,0.16%,-0.15%,0.47%,,,0.00%,,-0.20%,-0.29%,-0.20%,-0.11%,,,-0.15%,,-0.09%,-0.06%,0.08%,-0.54%,1.60%,1.29%,0.79%,0.05%,0.11%," 1,086,893,710 "," 1,038,867,846 ", -   ," 48,025,864 "," 1,304,086,403 "," (729,442)"," (544,416)", -   ," (185,026)"," 1,021,100 ",,,,,,
3/28/2018,0.00155428%,-0.17%,-0.13%,0.00%,-1.02%,1.75%,2.29%,1.97%,0.98%,0.53%,-0.12%,0.94%,0.45%,0.00%,0.02%,0.00%,-0.40%,0.23%,0.16%,0.33%,0.09%,0.00%,-0.04%,0.11%,0.03%,0.04%,0.06%,0.04%,-0.36%,0.12%,0.05%,0.23%,-0.02%,-0.03%,0.00%,0.02%,0.00%,-0.40%,0.23%,0.16%,0.33%,0.09%,0.00%,-0.04%,0.10%,0.03%,0.00%,,0.00%,-0.40%,,,,,0.00%,-0.04%,,,-0.05%,-0.01%,0.12%,-0.89%,1.87%,1.35%,1.02%,0.04%,0.08%," 1,150,230,845 "," 1,068,954,490 ", -   ," 81,276,355 "," 1,307,591,485 "," (358,019)"," (8,431)", -   ," (349,588)"," 4,526,182 ",,,,,,
3/31/2018,0.00147355%,-0.12%,-0.08%,0.00%,-0.90%,1.79%,2.38%,2.03%,0.90%,1.09%,0.00%,1.04%,0.40%,0.05%,0.05%,0.00%,0.12%,0.05%,0.09%,0.07%,-0.08%,0.57%,0.12%,0.10%,-0.04%,-0.07%,-0.07%,-0.12%,-0.01%,-0.05%,-0.01%,-0.03%,-0.18%,0.61%,0.05%,0.05%,0.00%,0.11%,0.04%,0.09%,0.06%,-0.08%,0.56%,0.12%,0.10%,-0.05%,,,0.00%,,,,,-0.08%,,,,-0.04%,-0.12%,-0.08%,0.00%,-0.90%,1.79%,1.33%,0.99%,-0.14%,0.69%," 1,150,848,144 "," 1,069,476,277 ", -   ," 81,371,867 "," 1,309,855,459 "," 259,280 "," 513,356 ", -   ," (254,076)"," 6,790,157 ",3/31/2018,0.203%,,#N/A,,#N/A
4/3/2018,0.00147084%,-0.15%,-0.11%,0.00%,-0.86%,1.99%,2.51%,2.28%,1.10%,1.03%,-0.11%,1.18%,0.60%,-0.03%,-0.03%,0.00%,0.04%,0.20%,0.14%,0.25%,0.20%,-0.06%,-0.11%,0.14%,0.20%,0.08%,0.08%,0.11%,0.15%,0.06%,0.00%,0.10%,0.06%,-0.26%,-0.03%,-0.03%,0.00%,0.04%,0.20%,0.14%,0.25%,0.20%,-0.06%,-0.11%,0.14%,0.20%,-0.03%,-0.03%,0.00%,,,,,,-0.06%,-0.11%,,,-0.03%,0.00%,0.11%,-0.75%,2.10%,1.33%,1.10%,-0.08%,0.44%," 1,183,990,129 "," 1,102,602,276 ", -   ," 81,387,853 "," 1,310,712,365 "," (327,224)"," (89,134)", -   ," (238,090)"," 7,647,063 ",4/3/2018,0.204%,,#N/A,,#N/A
4/4/2018,0.00144211%,-0.13%,-0.09%,0.00%,-0.84%,1.96%,2.51%,2.24%,1.05%,0.82%,-0.06%,1.14%,0.31%,0.02%,0.02%,0.00%,0.02%,-0.03%,0.00%,-0.04%,-0.05%,-0.22%,0.05%,-0.05%,-0.29%,-0.03%,-0.03%,-0.05%,-0.03%,0.02%,0.04%,0.01%,-0.01%,0.07%,0.02%,0.02%,0.00%,0.02%,-0.03%,0.00%,-0.04%,-0.05%,-0.22%,0.05%,-0.05%,-0.29%,,,0.00%,,-0.03%,0.00%,-0.04%,-0.05%,-0.22%,,-0.05%,-0.29%,-0.06%,-0.03%,0.06%,-0.78%,2.03%,1.37%,1.10%,-0.09%,0.50%," 1,247,574,521 "," 1,166,162,742 ", -   ," 81,411,779 "," 1,307,427,510 "," 41,085 "," 255,249 ", -   ," (214,164)"," 4,362,208 ",4/4/2018,0.218%,,#N/A,,#N/A
4/5/2018,0.00145940%,-0.17%,-0.15%,0.00%,-0.64%,1.87%,2.39%,2.11%,1.17%,0.70%,-0.17%,1.07%,0.43%,-0.04%,-0.06%,0.00%,0.20%,-0.09%,-0.12%,-0.13%,0.13%,-0.12%,-0.11%,-0.06%,0.11%,0.07%,0.05%,0.11%,0.31%,-0.03%,-0.06%,-0.07%,0.19%,-0.24%,-0.04%,-0.06%,0.00%,0.20%,-0.10%,-0.12%,-0.13%,0.12%,-0.12%,-0.11%,-0.07%,0.11%,-0.04%,-0.06%,0.00%,,-0.09%,-0.12%,-0.13%,,-0.12%,-0.11%,-0.06%,,0.00%,0.02%,0.17%,-0.47%,2.04%,1.32%,1.03%,0.10%,0.27%," 1,246,604,297 "," 1,165,057,677 ", -   ," 81,546,620 "," 1,303,095,261 "," (929,139)"," (849,817)", -   ," (79,323)"," 29,958 ",4/5/2018,0.217%,,#N/A,,#N/A
4/6/2018,0.00145142%,-0.10%,-0.08%,0.00%,-0.60%,1.77%,2.28%,1.97%,1.26%,0.39%,-0.04%,0.98%,0.21%,0.07%,0.07%,0.00%,0.04%,-0.10%,-0.12%,-0.14%,0.08%,-0.31%,0.13%,-0.09%,-0.22%,-0.06%,-0.06%,-0.13%,-0.08%,-0.01%,-0.02%,-0.05%,0.17%,-0.09%,0.07%,0.07%,0.00%,0.04%,-0.10%,-0.12%,-0.14%,0.08%,-0.31%,0.12%,-0.09%,-0.22%,,,0.00%,,-0.10%,-0.12%,-0.14%,,-0.31%,,-0.09%,-0.22%,-0.06%,-0.04%,0.04%,-0.56%,1.81%,1.29%,0.99%,0.27%,0.18%," 1,247,479,562 "," 1,165,898,049 ", -   ," 81,581,513 "," 1,301,925,753 "," (53,874)"," (9,444)", -   ," (44,430)"," (1,139,550)",4/6/2018,0.224%,,#N/A,,#N/A
4/9/2018,0.00154643%,-0.08%,-0.09%,0.00%,-0.22%,1.82%,2.30%,2.01%,1.41%,0.41%,-0.07%,0.96%,0.16%,0.02%,-0.01%,0.00%,0.38%,0.05%,0.02%,0.04%,0.16%,0.02%,-0.03%,-0.03%,-0.05%,0.05%,0.02%,0.03%,0.41%,0.07%,0.05%,0.07%,0.18%,0.08%,0.01%,-0.01%,0.00%,0.38%,0.05%,0.02%,0.04%,0.16%,0.02%,-0.03%,-0.03%,-0.06%,,-0.01%,0.00%,,,,,,0.02%,-0.03%,-0.03%,-0.05%,-0.01%,-0.02%,0.07%,-0.15%,1.89%,1.34%,1.06%,0.46%,0.26%," 1,246,770,310 "," 1,164,884,947 ", -   ," 81,885,363 "," 1,299,021,647 "," 56,066 "," (203,354)", -   ," 259,420 "," (4,043,655)",4/9/2018,0.229%,,#N/A,,#N/A
4/10/2018,0.00144070%,-0.11%,-0.14%,0.00%,0.09%,2.03%,2.36%,2.45%,1.50%,0.40%,-0.13%,1.05%,-0.02%,-0.02%,-0.05%,0.00%,0.31%,0.21%,0.07%,0.44%,0.09%,-0.01%,-0.06%,0.10%,-0.17%,0.04%,0.01%,0.06%,0.37%,0.12%,-0.03%,0.34%,-0.01%,0.16%,-0.03%,-0.05%,0.00%,0.31%,0.21%,0.07%,0.43%,0.09%,-0.01%,-0.06%,0.10%,-0.17%,-0.02%,-0.05%,0.00%,,,,,,-0.01%,-0.06%,,-0.17%,0.03%,-0.01%,0.13%,0.22%,2.16%,1.31%,1.39%,0.45%,0.42%," 1,254,376,483 "," 1,172,239,133 ", -   ," 82,137,350 "," 1,296,388,832 "," (248,454)"," (759,862)", -   ," 511,407 "," (6,676,471)",4/10/2018,0.230%,,#N/A,,#N/A
4/11/2018,0.00147567%,-0.09%,-0.11%,0.00%,-0.10%,2.04%,2.42%,2.40%,1.48%,0.78%,-0.01%,1.13%,0.35%,0.01%,0.03%,0.00%,-0.19%,0.01%,0.06%,-0.05%,-0.02%,0.38%,0.12%,0.08%,0.37%,-0.11%,-0.09%,-0.12%,-0.31%,-0.07%,-0.02%,-0.13%,-0.10%,0.01%,0.01%,0.03%,0.00%,-0.19%,0.01%,0.06%,-0.05%,-0.02%,0.38%,0.12%,0.08%,0.37%,0.01%,,0.00%,-0.19%,0.01%,,-0.05%,-0.02%,,,,,-0.08%,-0.10%,0.01%,-0.09%,2.05%,1.29%,1.27%,0.35%,0.43%," 1,277,500,757 "," 1,129,023,504 ", -   ," 148,477,254 "," 1,298,460,757 "," (293,716)"," (624,218)", -   ," 330,503 "," (4,604,545)",4/11/2018,0.227%,,#N/A,,#N/A
4/12/2018,0.00151613%,-0.07%,-0.10%,0.00%,0.03%,1.99%,2.39%,2.31%,1.47%,0.94%,-0.02%,1.09%,0.41%,0.02%,0.01%,0.00%,0.13%,-0.06%,-0.04%,-0.10%,-0.01%,0.15%,-0.01%,-0.05%,0.06%,0.03%,0.02%,0.01%,0.14%,-0.01%,0.01%,-0.05%,0.04%,0.10%,0.02%,0.01%,0.00%,0.13%,-0.06%,-0.04%,-0.10%,-0.01%,0.15%,-0.01%,-0.05%,0.06%,,,0.00%,,-0.06%,-0.04%,-0.10%,-0.01%,,-0.01%,-0.05%,,-0.05%,-0.08%,0.02%,0.05%,2.01%,1.30%,1.22%,0.39%,0.52%," 1,294,397,756 "," 1,145,730,508 ", -   ," 148,667,248 "," 1,301,608,706 "," (62,797)"," (583,294)", -   ," 520,497 "," (1,456,597)",4/12/2018,0.251%,,#N/A,,#N/A
